"Brookside Laboratories, Inc.  New Bremen, OH 45869 (Phone: 419-977-2766)",,,,,,,,,,
Client Number,47806,,,,,,,,,
Date Submitted,,,,,,,,,,
Date Received,1/29/2024,,,,,,,,,
Date Reported,1/31/2024,,,,,,,,,
Purchase Order # ,PO833996,,,,,,,,,
,,,,,,,,,,
Sample Location,Site,Treatment,Transect_ID,Sample,Time,Sample Description #1,Lab Number,Carbon   (%),Nitrogen (%),C/N Ratio
CF_B_T4_1to4,CF,Burn,T4,1,Pre-burn,*,106,1.89,0.24,7.88
CF_B_T5_1to4,CF,Burn,T5,1,Pre-burn,*,107,2.03,0.27,7.52
CF_C_B_T1_1to4,CF,Control,T1,1,Pre-burn,*,108,2.4,0.27,8.89
CF_C_B_T2_1to4,CF,Control,T2,1,Pre-burn,*,109,2.57,0.28,9.18
CF_C_B_T3_1to4,CF,Control,T3,1,Pre-burn,*,110,1.79,0.22,8.14
CF_C_B_T4_1to4,CF,Control,T4,1,Pre-burn,*,111,2.06,0.25,8.24
CF_C_B_T5_1to4,CF,Control,T5,1,Pre-burn,*,112,1.63,0.23,7.09
CF_A_T1_1to4,CF,Burn,T1,1,Post-burn,*,113,1.97,0.26,7.58
CF_A_T2_1to4,CF,Burn,T2,1,Post-burn,*,114,1.83,0.23,7.96
CF_A_T3_1to4,CF,Burn,T3,1,Post-burn,*,115,1.84,0.25,7.36
CF_A_T4_1to4,CF,Burn,T4,1,Post-burn,*,116,2,0.24,8.33
CF_A_T5_1to4,CF,Burn,T5,1,Post-burn,*,117,1.6,0.21,7.62
CF_C_A_T1_1to4,CF,Control,T1,1,Post-burn,*,118,2.28,0.31,7.35
CF_C_A_T2_1to4,CF,Control,T2,1,Post-burn,*,119,2.25,0.35,6.43
CF_C_A_T3_1to4,CF,Control,T3,1,Post-burn,*,120,1.63,0.22,7.41
CF_C_A_T4_1to4,CF,Control,T4,1,Post-burn,*,121,2.09,0.26,8.04
CF_C_A_T5_1to4,CF,Control,T5,1,Post-burn,*,122,2.08,0.25,8.32
